provider,network_type,plan_name,download_speed,upload_speed,price,promo_price,promo_period,contract,typical_evening_dl,typical_evening_ul,source_url
origin,NBN,Everyday nbn™ 25/10,25,8,47.0,94.0,6 months,No Contract,0,0,https://www.originenergy.com.au/internet/plans/
origin,NBN,Experience nbn™ 50/20,50,17,54.0,108.0,6 months,No Contract,0,0,https://www.originenergy.com.au/internet/plans/
origin,NBN,Extra Fast nbn™ 500/50,500,40,56.0,112.0,6 months,No Contract,0,0,https://www.originenergy.com.au/internet/plans/
origin,NBN,Ultra Fast nbn™ 1000/100,860,85,72.0,144.0,6 months,No Contract,0,0,https://www.originenergy.com.au/internet/plans/
