provider,network_type,plan_name,download_speed,upload_speed,price,promo_price,promo_period,contract,typical_evening_dl,typical_evening_ul,source_url
Zennet,Fibre,Zennet Basic,25,10,69.0,,,"Month to month, no lock-in",25,10,https://zennet.com.au/
Zennet,Fibre,Zennet Standard,50,20,75.0,,,"Month to month, no lock-in",50,20,https://zennet.com.au/
Zennet,Fibre,Zennet Premium,500,500,87.0,,,"Month to month, no lock-in",500,500,https://zennet.com.au/
Zennet,Fibre,Zennet Ultimate,1000,1000,130.0,,,"Month to month, no lock-in",1000,1000,https://zennet.com.au/
