provider,network_type,plan_name,download_speed,upload_speed,price,promo_price,promo_period,contract,typical_evening_dl,typical_evening_ul,source_url
Origin,NBN,Everyday nbn™ 25/10,25,8,65.0,95.0,6 months,No Contract,25,8,https://www.originenergy.com.au/internet/plans/
Origin,NBN,Experience nbn™ 50/20,50,17,79.0,109.0,6 months,No Contract,50,17,https://www.originenergy.com.au/internet/plans/
Origin,NBN,Extra Fast nbn™ 500/50,500,40,84.0,114.0,6 months,No Contract,500,40,https://www.originenergy.com.au/internet/plans/
Origin,NBN,Ultra Fast nbn™ 1000/100,860,85,114.0,144.0,6 months,No Contract,860,85,https://www.originenergy.com.au/internet/plans/
Origin,Opticomm,Everyday Opticomm 25/10,25,8,68.0,98.0,6 months,No Contract,25,8,https://www.originenergy.com.au/internet/plans/
Origin,Opticomm,Experience Opticomm 50/20,50,17,84.0,114.0,6 months,No Contract,50,17,https://www.originenergy.com.au/internet/plans/
Origin,Opticomm,Enthusiast Opticomm 100/20,95,17,88.0,118.0,6 months,No Contract,95,17,https://www.originenergy.com.au/internet/plans/
Origin,Opticomm,Extra Fast Opticomm 500/50,500,40,88.0,118.0,6 months,No Contract,500,40,https://www.originenergy.com.au/internet/plans/
Origin,Opticomm,Ultra Fast Opticomm 1000/100,860,85,118.0,148.0,6 months,No Contract,860,85,https://www.originenergy.com.au/internet/plans/
