provider,network_type,plan_name,download_speed,upload_speed,price,promo_price,promo_period,contract,typical_evening_dl,typical_evening_ul,source_url
Origin,NBN,Everyday nbn™ 25/10,25,8,85.0,95.0,,No Contract,25,8,https://www.originenergy.com.au/internet/plans/
Origin,NBN,Experience nbn™ 50/20,50,17,99.0,109.0,,No Contract,50,17,https://www.originenergy.com.au/internet/plans/
Origin,NBN,Extra Fast nbn™ 500/50,500,40,104.0,114.0,,No Contract,500,40,https://www.originenergy.com.au/internet/plans/
Origin,NBN,Ultra Fast nbn™ 1000/100,860,85,134.0,144.0,,No Contract,860,85,https://www.originenergy.com.au/internet/plans/
Origin,Opticomm,Everyday Opticomm 25/10,25,8,88.0,98.0,,No Contract,25,8,https://www.originenergy.com.au/internet/plans/
Origin,Opticomm,Experience Opticomm 50/20,50,17,104.0,114.0,,No Contract,50,17,https://www.originenergy.com.au/internet/plans/
Origin,Opticomm,Enthusiast Opticomm 100/20,95,17,108.0,118.0,,No Contract,95,17,https://www.originenergy.com.au/internet/plans/
Origin,Opticomm,Extra Fast Opticomm 500/50,500,40,108.0,118.0,,No Contract,500,40,https://www.originenergy.com.au/internet/plans/
Origin,Opticomm,Ultra Fast Opticomm 1000/100,860,85,138.0,148.0,,No Contract,860,85,https://www.originenergy.com.au/internet/plans/
