provider,network_type,plan_name,download_speed,upload_speed,price,promo_price,promo_period,contract,typical_evening_dl,typical_evening_ul,source_url
Epsinet,Fibre,Choose your month-to-month plans,25,10,69.0,,,No lock-in / month-to-month,25,10,https://epsinet.com.au
Epsinet,Fibre,Ideal for browsing,50,20,45.0,,,No lock-in / month-to-month,50,20,https://epsinet.com.au
Epsinet,Fibre,sign up,50,20,79.0,,,No lock-in / month-to-month,50,20,https://epsinet.com.au
Epsinet,Fibre,sign up,100,40,99.0,,,No lock-in / month-to-month,100,40,https://epsinet.com.au
Epsinet,Fibre,sign up,250,50,129.0,,,No lock-in / month-to-month,250,50,https://epsinet.com.au
