provider,network_type,plan_name,download_speed,upload_speed,price,promo_price,promo_period,contract,typical_evening_dl,typical_evening_ul,source_url
Zennet,FIBRE,Choose your month-to-month plans,25,10,69.0,,,No lock-in / month-to-month,25,10,https://zennet.com.au
Zennet,FIBRE,SIGN UP,50,20,75.0,,,No lock-in / month-to-month,50,20,https://zennet.com.au
Zennet,FIBRE,SIGN UP,500,500,87.0,,,No lock-in / month-to-month,500,500,https://zennet.com.au
Zennet,FIBRE,SIGN UP,1000,1000,130.0,,,No lock-in / month-to-month,1000,1000,https://zennet.com.au
