provider,network_type,plan_name,download_speed,upload_speed,price,promo_price,promo_period,contract,typical_evening_dl,typical_evening_ul,source_url
Telstra,NBN,Basic nbn®,23,3,97.0,,,No Lock-in,23,3,https://www.telstra.com.au/internet/plans
Telstra,NBN,Basic nbn®,25,4,97.0,,,No Lock-in,25,4,https://www.telstra.com.au/internet/plans
Telstra,NBN,Basic nbn® Internet Only,25,4,89.0,,,No Lock-in,25,4,https://www.telstra.com.au/internet/plans
Telstra,NBN,Basic nbn® Internet Only,23,3,89.0,,,No Lock-in,23,3,https://www.telstra.com.au/internet/plans
Telstra,NBN,Essential nbn®,50,17,113.0,,,No Lock-in,50,17,https://www.telstra.com.au/internet/plans
Telstra,NBN,Essential nbn®,105,7,113.0,,,No Lock-in,105,7,https://www.telstra.com.au/internet/plans
Telstra,NBN,Premium nbn®,100,17,113.0,,,No Lock-in,100,17,https://www.telstra.com.au/internet/plans
Telstra,NBN,Essential nbn® Internet Only,50,17,99.0,,,No Lock-in,50,17,https://www.telstra.com.au/internet/plans
Telstra,NBN,Premium nbn®,183,14,113.0,,,No Lock-in,183,14,https://www.telstra.com.au/internet/plans
Telstra,NBN,Essential nbn® Internet Only,105,7,99.0,,,No Lock-in,105,7,https://www.telstra.com.au/internet/plans
Telstra,NBN,Premium nbn®,500,40,113.0,,,No Lock-in,500,40,https://www.telstra.com.au/internet/plans
Telstra,NBN,Premium nbn® Internet Only,100,17,99.0,,,No Lock-in,100,17,https://www.telstra.com.au/internet/plans
Telstra,NBN,Premium nbn® Internet Only,183,14,99.0,,,No Lock-in,183,14,https://www.telstra.com.au/internet/plans
Telstra,NBN,Premium nbn® Internet Only,500,40,99.0,,,No Lock-in,500,40,https://www.telstra.com.au/internet/plans
Telstra,NBN,Ultimate nbn®,298,20,113.0,,,No Lock-in,298,20,https://www.telstra.com.au/internet/plans
Telstra,NBN,Ultimate nbn®,750,40,113.0,,,No Lock-in,750,40,https://www.telstra.com.au/internet/plans
Telstra,NBN,Ultimate nbn® Internet Only,298,20,104.0,,,No Lock-in,298,20,https://www.telstra.com.au/internet/plans
Telstra,NBN,Ultrafast nbn®,815,80,113.0,,,No Lock-in,815,80,https://www.telstra.com.au/internet/plans
Telstra,NBN,Ultimate nbn® Internet Only,750,40,104.0,104.0,6 months,No Lock-in,750,40,https://www.telstra.com.au/internet/plans
Telstra,NBN,Ultrafast nbn® Internet Only,815,80,104.0,104.0,6 months,No Lock-in,815,80,https://www.telstra.com.au/internet/plans
Telstra,Opticomm,Basic,25,4,97.0,,,No Lock-in,25,4,https://www.telstra.com.au/internet/opticomm-plans
Telstra,Opticomm,Basic Internet Only,25,4,89.0,,,No Lock-in,25,4,https://www.telstra.com.au/internet/opticomm-plans
Telstra,Opticomm,Essential,50,17,113.0,,,No Lock-in,50,17,https://www.telstra.com.au/internet/opticomm-plans
Telstra,Opticomm,Essential Internet Only,50,17,99.0,,,No Lock-in,50,17,https://www.telstra.com.au/internet/opticomm-plans
Telstra,Opticomm,Premium,400,40,113.0,,,No Lock-in,400,40,https://www.telstra.com.au/internet/opticomm-plans
Telstra,Opticomm,Premium Internet Only,400,40,99.0,,,No Lock-in,400,40,https://www.telstra.com.au/internet/opticomm-plans
Telstra,Opticomm,Ultimate,600,40,113.0,,,No Lock-in,600,40,https://www.telstra.com.au/internet/opticomm-plans
Telstra,Opticomm,Ultrafast,800,80,113.0,,,No Lock-in,800,80,https://www.telstra.com.au/internet/opticomm-plans
Telstra,Opticomm,Ultimate Internet Only,600,40,104.0,104.0,6 months,No Lock-in,600,40,https://www.telstra.com.au/internet/opticomm-plans
Telstra,Opticomm,Ultrafast Internet Only,800,80,104.0,104.0,6 months,No Lock-in,800,80,https://www.telstra.com.au/internet/opticomm-plans
