provider,network_type,plan_name,download_speed,upload_speed,price,promo_price,promo_period,contract,typical_evening_dl,typical_evening_ul,source_url
Clevernet,SUPA,Superfast,500,500,90.0,,30 days free,Month-to-month,0,0,https://clevernet.com.au
Clevernet,SUPA,Ultra,750,750,105.0,,30 days free,Month-to-month,0,0,https://clevernet.com.au
Clevernet,SUPA,Gigabit,1000,1000,115.0,,30 days free,Month-to-month,0,0,https://clevernet.com.au
Clevernet,SUPA,Hyper,2000,2000,150.0,,30 days free,Month-to-month,0,0,https://clevernet.com.au
