provider,network_type,plan_name,download_speed,upload_speed,price,promo_price,promo_period,contract,typical_evening_dl,typical_evening_ul,source_url
Unitiinternet,Opticomm,The 25,25,5,55.14,,6 months,No lock-in / month-to-month,25,5,https://unitiinternet.com
Unitiinternet,Opticomm,The 50,50,20,71.14,,6 months,No lock-in / month-to-month,50,20,https://unitiinternet.com
Unitiinternet,Opticomm,The 100,100,20,82.14,,6 months,No lock-in / month-to-month,100,20,https://unitiinternet.com
Unitiinternet,Opticomm,The 100+,100,20,87.14,,6 months,No lock-in / month-to-month,100,20,https://unitiinternet.com
Unitiinternet,Opticomm,The 500,500,50,80.14,,6 months,No lock-in / month-to-month,500,50,https://unitiinternet.com
Unitiinternet,Opticomm,The 500+,500,50,135.14,,6 months,No lock-in / month-to-month,500,50,https://unitiinternet.com
Unitiinternet,Opticomm,The 750,750,50,90.14,,6 months,No lock-in / month-to-month,750,50,https://unitiinternet.com
Unitiinternet,Opticomm,The 1000,1000,50,97.14,,6 months,No lock-in / month-to-month,1000,50,https://unitiinternet.com
Unitiinternet,Opticomm,The 1000+,1000,50,155.14,,6 months,No lock-in / month-to-month,1000,50,https://unitiinternet.com
